cf,El,capex[USD],lcoh[USD/kg],FOM_PV[USD],FOM_WIND[USD],FOM_EL[USD],FOM_UG[USD],H_total[kg],pv_capacity[kW],wind_capacity[kW],el_capacity[kW],ug_capcaity[kgH2],pipe_storage_capacity[kgH2],bat_e_capacity[kWh],bat_p_capacity[kW],pv_cost[USD],wind_cost[USD],el_cost[USD],ug_storage_cost[USD],pipe_storage_cost[USD],bat_cost[USD],load[kg/s],C_trans[USD],C_pipe[USD],LCOH-PV,LCOH-wind,LCOH-el,LCOH-UG,LCOH-pipe-storage,LCOH-trans,LCOH-pipe,pv_capacity_HI34[kW],pv_capacity_HJ34[kW],pv_capacity_HK34[kW],pv_capacity_HK43[kW],pv_capacity_HK44[kW],pv_capacity_HK45[kW],pv_capacity_HL34[kW],pv_capacity_HL43[kW],pv_capacity_HL44[kW],pv_capacity_HL45[kW],pv_capacity_HM34[kW],pv_capacity_HM44[kW],pv_capacity_HM45[kW],pv_capacity_HN34[kW],pv_capacity_HN42[kW],pv_capacity_HN43[kW],pv_capacity_HO34[kW],pv_capacity_HO39[kW],pv_capacity_HO40[kW],pv_capacity_HO41[kW],pv_capacity_HO42[kW],pv_capacity_HO43[kW],pv_capacity_HO47[kW],pv_capacity_HP34[kW],pv_capacity_HP39[kW],pv_capacity_HP40[kW],pv_capacity_HP41[kW],pv_capacity_HP42[kW],pv_capacity_HP43[kW],pv_capacity_HP45[kW],pv_capacity_HP46[kW],pv_capacity_HP47[kW],pv_capacity_HQ34[kW],pv_capacity_HQ39[kW],pv_capacity_HQ40[kW],pv_capacity_HQ41[kW],pv_capacity_HQ42[kW],pv_capacity_HQ45[kW],pv_capacity_HQ46[kW],pv_capacity_HQ47[kW],pv_capacity_HR34[kW],pv_capacity_HR43[kW],pv_capacity_HR44[kW],pv_capacity_HS34[kW],pv_capacity_HS40[kW],pv_capacity_HS43[kW],pv_capacity_HS44[kW],pv_capacity_HT34[kW],pv_capacity_HU34[kW],pv_capacity_HV35[kW],pv_capacity_HW34[kW],wind_capacity_HI34[kW],wind_capacity_HJ34[kW],wind_capacity_HK34[kW],wind_capacity_HK43[kW],wind_capacity_HK44[kW],wind_capacity_HK45[kW],wind_capacity_HL34[kW],wind_capacity_HL43[kW],wind_capacity_HL44[kW],wind_capacity_HL45[kW],wind_capacity_HM34[kW],wind_capacity_HM44[kW],wind_capacity_HM45[kW],wind_capacity_HN34[kW],wind_capacity_HN42[kW],wind_capacity_HN43[kW],wind_capacity_HO34[kW],wind_capacity_HO39[kW],wind_capacity_HO40[kW],wind_capacity_HO41[kW],wind_capacity_HO42[kW],wind_capacity_HO43[kW],wind_capacity_HO47[kW],wind_capacity_HP34[kW],wind_capacity_HP39[kW],wind_capacity_HP40[kW],wind_capacity_HP41[kW],wind_capacity_HP42[kW],wind_capacity_HP43[kW],wind_capacity_HP45[kW],wind_capacity_HP46[kW],wind_capacity_HP47[kW],wind_capacity_HQ34[kW],wind_capacity_HQ39[kW],wind_capacity_HQ40[kW],wind_capacity_HQ41[kW],wind_capacity_HQ42[kW],wind_capacity_HQ45[kW],wind_capacity_HQ46[kW],wind_capacity_HQ47[kW],wind_capacity_HR34[kW],wind_capacity_HR43[kW],wind_capacity_HR44[kW],wind_capacity_HS34[kW],wind_capacity_HS40[kW],wind_capacity_HS43[kW],wind_capacity_HS44[kW],wind_capacity_HT34[kW],wind_capacity_HU34[kW],wind_capacity_HV35[kW],wind_capacity_HW34[kW]
100,HN34,2404321200.17417,3.7498755853581,0,29997246.2286987,29028995.0964376,3003203.36963378,66698640.0000005,0,893839.279758602,776176.339476942,2915731.42682892,0,0,0,0,1300536152.04877,828180154.221896,57479802.931229,0,0,2.115,12825443.3682312,205222912.169672,0,1.97506158026448,1.40654757952712,0.11244096905772,0,0.0150421709395288,0.24069328731439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259439.279758602,0,0,634400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,HM34,2407376152.3002,3.75898784716359,0,30143186.4754144,29169668.9098368,3085385.9001538,66698640.0000005,0,898187.916430702,779937.671386011,2995520.29141145,0,-8.92991872043884E-11,8.4834227844169E-11,0,1306863418.40667,832193495.368874,59052735.2562403,0,1.66275086574571E-08,2.115,10469786.7292302,199346940.504162,0,1.98467049476633,1.41336367533347,0.115517911320346,0,0.0122793666589017,0.233801722813208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,686400,0,0,211787.916430702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,HO39,2420629583.57925,3.76260158375816,0,29812622.9499374,28851034.1757862,2938843.04184641,66698640.0000005,0,888337.990164999,771418.02609054,2853245.67169555,0,4.65661287307739E-10,0,0,1292531775.69007,823103033.838607,56247978.6081701,0,0,2.115,8564910.0233734,239422015.506714,0,1.96290571962567,1.39792480421709,0.110031296206904,0,0.0100452543396973,0.280803304847869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,717600,0,0,0,0,0,0,170737.990164999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,HP39,2426336017.63196,3.77148065734599,0,29773798.6783828,28813610.9258265,3160917.08748971,66698640.0000005,0,887181.128676484,770417.404433864,3068851.54125215,0,0,0,0,1290848542.22428,822035370.530932,60498364.2160132,0,0,2.115,7202611.71506155,244872462.33664,0,1.96034947407751,1.39611152816416,0.118345825002117,0,0.00844749873500476,0.287195797532811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143581.128676484,0,0,0,0,0,0,743600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,HL34,2414223411.30119,3.77246825170575,0,30286440.2471952,29307753.1930537,3167533.89437187,66698640.0000005,0,902456.503194136,783629.764520152,3075275.62560376,0,0,0,0,1313074212.14747,836132958.743002,60625006.5737923,0,0,2.115,9594407.05886838,196192024.80272,0,1.99410252791748,1.42005430012721,0.118593560531926,0,0.0112526878720157,0.230101516908556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,728000,0,0,0,174456.503194136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,HV35,2440644241.59091,3.77467846966391,0,29604273.9276495,28650203.6842473,2587853.4086277,66698640.0000005,0,882129.73562722,766048.226851532,2512479.03750262,0,0,0,0,1283498765.33761,817373458.050584,49530213.4536989,0,0,2.115,13469772.3190085,277308904.652415,0,1.9491877221112,1.38819392511394,0.0968901233887817,0,0.0157978645978773,0.325238498745981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,717600,164529.73562722
100,HK34,2415778456.17505,3.77524972688538,0,30179564.3758877,29204734.0690249,3441303.44422789,66698640.0000005,0,899271.882475795,780875.242487298,3341071.30507562,0,0,0,0,1308440589.00228,833193883.733947,65864818.1474634,0,0,2.115,14852166.3597269,195577587.291302,0,1.9870656677448,1.41506269435283,0.128843586819043,0,0.0174191892467996,0.229380881074531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296071.882475796,603200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,HJ34,2418254594.79557,3.77815383704597,0,30179564.3758877,29204734.0690249,3441303.44422789,66698640.0000005,0,899271.882475794,780875.242487297,3341071.30507562,0,1.37026371939502E-10,-1.30175053342526E-10,0,1308440589.00228,833193883.733946,65864818.1474633,0,-2.55143104551352E-08,2.115,17460697.2484002,195645659.301454,0,1.9870656677448,1.41506269435283,0.128843586819043,0,0.0204785741274548,0.22946071853383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551200,348071.882475794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,HS34,2433895534.03104,3.77872930831899,0,29817265.7990885,28855509.4820148,2967670.41315818,66698640.0000005,0,888476.334895366,771537.686684887,2881233.41083319,0,0,0,0,1292733067.27276,823230711.692775,56799720.0049665,0,0,2.115,13588577.9121331,249138745.001808,0,1.9632114114519,1.39814164710547,0.111110602922679,0,0.0159372043453654,0.292199457155585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,613600,0,0,0,274876.334895366,0,0,0
100,HO40,2434977052.64108,3.78179287333356,0,29881631.6095324,28917552.5730157,2960993.48018766,66698640.0000005,0,890394.267268546,773196.592861382,2874750.9516385,0,0,-3.81842255592346E-11,0,1295523658.87573,825000764.583095,56671926.8640787,0,-7.48410820960998E-09,2.115,9414765.9209098,247514096.719056,0,1.96744934843855,1.40114783313374,0.110860616251403,0,0.011041997868765,0.290294007458127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146794.267268546,743600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,HQ39,2433972790.22113,3.78226995165079,0,29698282.4534768,28740819.7967849,3431456.04074363,66698640.0000005,0,884930.943190607,768471.117561094,3331510.71916857,0,0,0,0,1287574522.34233,819958682.437687,65676343.7945832,0,0,2.115,7396269.70559404,252146580.494608,0,1.95537737786037,1.39258456534563,0.128474896639195,0,0.00867462823951851,0.295727161761319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136130.943190607,0,0,0,0,0,0,0,0,748800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,HW34,2450841460.94665,3.78858333615911,0,29650831.278196,28695080.9555315,2626159.46631908,66698640.0000005,0,883517.022592253,767248.153891216,2549669.3847758,0,1.29563104884143E-10,1.75835642342766E-11,0,1285517267.87173,818653780.201928,50263372.1433288,0,3.44637858991822E-09,2.115,12306201.4429806,284773141.896122,0,1.95225312463656,1.39036837232063,0.0983243153889475,0,0.0144331841330425,0.333992841915992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150317.022592253,733200
100,HP40,2439897443.06826,3.79002549754047,0,29826975.5766773,28864868.8703358,3232532.05851271,66698640.0000005,0,888765.660806834,771787.937709515,3138380.63933273,0,4.22527390070928E-10,1.10668313967519E-10,0,1293154036.47394,823497729.536052,61869038.7640474,0,2.16909895376337E-08,2.115,7176299.45404663,253144845.785602,0,1.9638507170909,1.39859513937914,0.121027114195612,0,0.00841663870805457,0.296897965508137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,743600,0,0,0,0,0,0,0,0,145165.660806834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,HQ40,2444337927.1897,3.79508138170286,0,29763274.0200437,28803466.0627294,3347492.520288,66698640.0000005,0,886867.521455414,770146.151409877,3249992.73814369,0,0,0,0,1290392243.71763,821745943.554339,64069324.2174207,0,0,2.115,7596590.98574689,259278294.895301,0,1.95965651552483,1.39561997712747,0.125331273499653,0,0.00890957270516936,0.304091509412087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153667.521455414,0,0,0,0,0,0,0,0,733200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,HI34,2427245896.89918,3.79534778704777,0,30314778.4122786,29335068.7405927,3619207.76159646,66698640.0000005,0,903300.906206158,784360.126753816,3513793.94329753,0,0,0,0,1314302818.52996,836912255.246322,69269817.3580919,0,0,2.115,13644553.4688214,196045840.004617,0,1.99596835322307,1.42137782569697,0.135504385766839,0,0.0160028546209906,0.229930065781395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,655200,248100.906206158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,HK43,2450524624.05658,3.80248044500631,0,30016863.7724199,29047904.7169631,2859006.58082194,66698640.0000005,0,894423.831120975,776681.944303827,2775734.54448732,0,2.00328175101037E-10,9.51558831729926E-11,0,1301386674.28102,828719634.572183,54719948.8740487,0,1.86505531019065E-08,2.115,8194564.04881995,258652074.445952,0,1.97635322739127,1.4074638110705,0.107042191594643,0,0.00961089840391743,0.303357054097406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,743600,0,0,0,150823.831120975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,HT34,2455853529.31148,3.80380903161815,0,29801139.5599946,28839965.1780947,2954422.4824924,66698640.0000005,0,887995.815256097,771122.06358542,2868371.34222563,0,-1.88885179487024E-10,1.79440920512673E-10,0,1292033911.19762,822787241.845643,56546161.2711108,0,3.51704204204838E-08,2.115,27960365.5415062,257569025.254644,0,1.96214963681346,1.39738847590606,0.110614595833338,0,0.0327929870283347,0.302086812546777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,565595.815256097,0,0,0,322400,0,-5.71766309730307E-10,0
100,User,2452014152.5951,3.80581170564096,0,29997246.2286987,29028995.0964376,3003203.36963377,66698640.0000005,0,893839.279758602,776176.339476941,2915731.42682891,0,3.88051072756449E-11,-4.08474813427841E-11,0,1300536152.04877,828180154.221896,57479802.9312287,0,-8.00610634318569E-09,2.115,70279292.172652,195549487.728988,0,1.97506158026448,1.40654757952712,0.11244096905772,0,0.0824262441475279,0.2293479248322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259439.279758601,0,0,634400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,HS40,2461958670.39462,3.8133361195902,0,29657091.7662654,28701115.5261882,3395178.58786765,66698640.0000005,0,883703.568720661,767409.506047812,3296289.89113364,0,-4.65661287307739E-10,0,0,1285788692.48856,818825942.953015,64982011.5814395,0,0,2.115,17005836.4019057,273753142.750241,0,1.95266532412198,1.39066076655345,0.127116656302371,0,0.0199450959146378,0.321068165072741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155703.568720661,0,0,0,0,0,0,0,0,0,728000,0,0,0,0,0,0
100,HQ41,2459939585.68849,3.81491229059797,-2.84928604575352E-09,29862971.2473804,28899565.5929852,3253923.87293459,66698640.0000005,-1.24695231761642E-10,889838.237407045,772715.657566448,3159149.39119863,0,-5.86959600311758E-11,5.5761162029617E-11,-1.39995336698795E-07,1294714635.42725,824487606.6234,62278467.3394625,0,1.09291877578049E-08,2.115,9461499.39524725,267524209.528205,-2.06910692642646E-16,1.96622072351481,1.4002763064708,0.121828031099149,0,0.0110968086764228,0.313762633746716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.48770092222834E-11,0,0,0,0,0,0,0,0,-9.98182225393585E-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.32957079978346E-11,0,-4.85825098573145E-11,0,0,0,0,0,0,0,0,0,0,-1.27858355845349E-10,0,0,6.26658945065197E-11,0,0,0,0,0,0,0,0,0,0,1.55516128919897E-10,0,0,0,0,-2.86053031683135E-11,0,146238.237407045,743600,0,0,0,0,1.65575596174874E-10,0,0,-1.64005642854087E-10,0,0,0,0,6.05044676014193E-11,0,0
100,HP41,2458985795.44771,3.8158033392481,0,29963184.8041225,28996162.8202645,3191156.70244968,66698640.0000005,0,892824.338621051,775298.471130066,3098210.39072784,0,0,0,0,1299059412.69363,827243468.695781,61077135.2463704,0,0,2.115,9237766.48778333,261109154.509075,0,1.97281892737105,1.40495675082539,0.119478006606737,0,0.0108344061580657,0.306238811652327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,722800,0,0,0,0,0,0,0,0,170024.338621051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,HL43,2459316773.80058,3.81655567624491,0,30038926.1713701,29069170.9671093,3066695.6925216,66698640.0000005,0,895081.232758346,777250.560617896,2977374.45875883,0,1.0684169338722E-09,-2.91977895542534E-10,0,1302343193.66339,829326348.179295,58695014.076814,0,-5.72276675263367E-08,2.115,8230282.01051868,261864301.659566,0,1.97780584728187,1.40849422885001,0.114818143505983,0,0.00965278979667932,0.307124477137414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151481.232758346,0,0,0,743600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,HO34,2461828650.64765,3.81732252465544,0,29997246.2286987,29028995.0964376,3003203.36963377,66698640.0000005,0,893839.279758602,776176.339476942,2915731.42682891,0,0,1.11352900144982E-11,0,1300536152.04877,828180154.221897,57479802.9312287,0,2.18251684284165E-09,2.115,61961303.6433406,213594502.368047,0,1.97506158026448,1.40654757952712,0.11244096905772,0,0.0726705887882078,0.250511808763057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259439.279758602,0,0,634400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
